Date : 2024-10-01 13:07:49
Directory : /Users/2398768715qq.com/GitHub/ITMO-Labs
Total : 1579 files,  270183 codes, 14017 comments, 17115 blanks, all 301315 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| BusinessLogic/Lab1/Lab/src/test                                                                                                                               |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab1/Lab/src/test/java                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab1/Lab/src/test/java/com                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab1/Lab/src/test/java/com/blps                                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab1/Lab/src/test/java/com/blps/lab1                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab1/Lab1                                                                                                                                       |          9 |         95 |          0 |          9 |        104 |
| BusinessLogic/Lab1/Lab1 (Files)                                                                                                                               |          1 |         14 |          0 |          8 |         22 |
| BusinessLogic/Lab1/Lab1/.idea                                                                                                                                 |          5 |         65 |          0 |          0 |         65 |
| BusinessLogic/Lab1/Lab1/target                                                                                                                                |          3 |         16 |          0 |          1 |         17 |
| BusinessLogic/Lab1/Lab1/target/classes                                                                                                                        |          3 |         16 |          0 |          1 |         17 |
| BusinessLogic/Lab1/Lab1/target/classes (Files)                                                                                                                |          1 |          1 |          0 |          1 |          2 |
| BusinessLogic/Lab1/Lab1/target/classes/com                                                                                                                    |          2 |         15 |          0 |          0 |         15 |
| BusinessLogic/Lab1/Lab1/target/classes/com/blps                                                                                                               |          2 |         15 |          0 |          0 |         15 |
| BusinessLogic/Lab1/Lab1/target/classes/com/blps/lab1                                                                                                          |          2 |         15 |          0 |          0 |         15 |
| BusinessLogic/Lab2                                                                                                                                            |         49 |      1,377 |        103 |        315 |      1,795 |
| BusinessLogic/Lab2/.idea                                                                                                                                      |          8 |        113 |          0 |          0 |        113 |
| BusinessLogic/Lab2/Lab                                                                                                                                        |         41 |      1,264 |        103 |        315 |      1,682 |
| BusinessLogic/Lab2/Lab (Files)                                                                                                                                |          2 |        222 |         53 |         44 |        319 |
| BusinessLogic/Lab2/Lab/.mvn                                                                                                                                   |          1 |          2 |          0 |          1 |          3 |
| BusinessLogic/Lab2/Lab/.mvn/wrapper                                                                                                                           |          1 |          2 |          0 |          1 |          3 |
| BusinessLogic/Lab2/Lab/src                                                                                                                                    |         38 |      1,040 |         50 |        270 |      1,360 |
| BusinessLogic/Lab2/Lab/src/main                                                                                                                               |         37 |      1,031 |         50 |        265 |      1,346 |
| BusinessLogic/Lab2/Lab/src/main/java                                                                                                                          |         33 |        973 |         48 |        247 |      1,268 |
| BusinessLogic/Lab2/Lab/src/main/java/com                                                                                                                      |         33 |        973 |         48 |        247 |      1,268 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps                                                                                                                 |         33 |        973 |         48 |        247 |      1,268 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1                                                                                                            |         33 |        973 |         48 |        247 |      1,268 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1 (Files)                                                                                                    |          2 |         18 |          0 |         10 |         28 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/config                                                                                                     |          3 |         75 |         24 |         16 |        115 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/controller                                                                                                 |          6 |        318 |          1 |         62 |        381 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/databaseJPA                                                                                                |         13 |        172 |          2 |         56 |        230 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/databaseJPA (Files)                                                                                        |          1 |          5 |          0 |          2 |          7 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/databaseJPA/Objects                                                                                        |          6 |        105 |          0 |         24 |        129 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/databaseJPA/Repositories                                                                                   |          6 |         62 |          2 |         30 |         94 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/requests                                                                                                   |          1 |         10 |          0 |          3 |         13 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/response                                                                                                   |          1 |          8 |          0 |          3 |         11 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/service                                                                                                    |          5 |        257 |         13 |         65 |        335 |
| BusinessLogic/Lab2/Lab/src/main/java/com/blps/lab1/utils                                                                                                      |          2 |        115 |          8 |         32 |        155 |
| BusinessLogic/Lab2/Lab/src/main/resources                                                                                                                     |          4 |         58 |          2 |         18 |         78 |
| BusinessLogic/Lab2/Lab/src/test                                                                                                                               |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab2/Lab/src/test/java                                                                                                                          |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab2/Lab/src/test/java/com                                                                                                                      |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab2/Lab/src/test/java/com/blps                                                                                                                 |          1 |          9 |          0 |          5 |         14 |
| BusinessLogic/Lab2/Lab/src/test/java/com/blps/lab1                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| DataBase                                                                                                                                                      |         92 |     30,844 |        183 |        599 |     31,626 |
| DataBase/Lab1                                                                                                                                                 |          6 |        385 |          8 |         84 |        477 |
| DataBase/Lab2                                                                                                                                                 |          4 |        224 |          0 |         70 |        294 |
| DataBase/Lab3                                                                                                                                                 |          1 |        258 |          0 |         36 |        294 |
| DataBase/Lab4                                                                                                                                                 |          1 |        237 |          0 |         46 |        283 |
| DataBase/SemesterWork                                                                                                                                         |         80 |     29,740 |        175 |        363 |     30,278 |
| DataBase/SemesterWork (Files)                                                                                                                                 |         12 |        784 |         27 |        109 |        920 |
| DataBase/SemesterWork/.idea                                                                                                                                   |         13 |      8,165 |          0 |          0 |      8,165 |
| DataBase/SemesterWork/.idea (Files)                                                                                                                           |         12 |        463 |          0 |          0 |        463 |
| DataBase/SemesterWork/.idea/dataSources                                                                                                                       |          1 |      7,702 |          0 |          0 |      7,702 |
| DataBase/SemesterWork/FinalStep                                                                                                                               |         55 |     20,791 |        148 |        254 |     21,193 |
| DataBase/SemesterWork/FinalStep/.idea                                                                                                                         |          9 |        105 |          0 |          0 |        105 |
| DataBase/SemesterWork/FinalStep/.idea (Files)                                                                                                                 |          8 |         92 |          0 |          0 |         92 |
| DataBase/SemesterWork/FinalStep/.idea/artifacts                                                                                                               |          1 |         13 |          0 |          0 |         13 |
| DataBase/SemesterWork/FinalStep/backend                                                                                                                       |         18 |        509 |         53 |        118 |        680 |
| DataBase/SemesterWork/FinalStep/backend (Files)                                                                                                               |          2 |        184 |         51 |         41 |        276 |
| DataBase/SemesterWork/FinalStep/backend/.mvn                                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| DataBase/SemesterWork/FinalStep/backend/.mvn/wrapper                                                                                                          |          1 |          2 |          0 |          1 |          3 |
| DataBase/SemesterWork/FinalStep/backend/src                                                                                                                   |         15 |        323 |          2 |         76 |        401 |
| DataBase/SemesterWork/FinalStep/backend/src/main                                                                                                              |         14 |        314 |          2 |         71 |        387 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java                                                                                                         |         13 |        310 |          2 |         71 |        383 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com                                                                                                     |         13 |        310 |          2 |         71 |        383 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo                                                                                                |         13 |        310 |          2 |         71 |        383 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend                                                                                        |         13 |        310 |          2 |         71 |        383 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend (Files)                                                                                |          1 |         11 |          0 |          5 |         16 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/controller                                                                             |          2 |        116 |          1 |         20 |        137 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/databaseJPA                                                                            |          6 |         89 |          0 |         26 |        115 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/databaseJPA/Enum                                                                       |          2 |         22 |          0 |          6 |         28 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/databaseJPA/account                                                                    |          2 |         45 |          0 |         12 |         57 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/databaseJPA/contact                                                                    |          2 |         22 |          0 |          8 |         30 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/response                                                                               |          1 |          8 |          0 |          3 |         11 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/security                                                                               |          1 |         17 |          0 |          3 |         20 |
| DataBase/SemesterWork/FinalStep/backend/src/main/java/com/demo/backend/service                                                                                |          2 |         69 |          1 |         14 |         84 |
| DataBase/SemesterWork/FinalStep/backend/src/main/resources                                                                                                    |          1 |          4 |          0 |          0 |          4 |
| DataBase/SemesterWork/FinalStep/backend/src/test                                                                                                              |          1 |          9 |          0 |          5 |         14 |
| DataBase/SemesterWork/FinalStep/backend/src/test/java                                                                                                         |          1 |          9 |          0 |          5 |         14 |
| DataBase/SemesterWork/FinalStep/backend/src/test/java/com                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| DataBase/SemesterWork/FinalStep/backend/src/test/java/com/demo                                                                                                |          1 |          9 |          0 |          5 |         14 |
| DataBase/SemesterWork/FinalStep/backend/src/test/java/com/demo/backend                                                                                        |          1 |          9 |          0 |          5 |         14 |
| DataBase/SemesterWork/FinalStep/frontend                                                                                                                      |         28 |     20,177 |         95 |        136 |     20,408 |
| DataBase/SemesterWork/FinalStep/frontend (Files)                                                                                                              |          3 |     18,496 |          0 |         35 |     18,531 |
| DataBase/SemesterWork/FinalStep/frontend/.idea                                                                                                                |          6 |        111 |          0 |          0 |        111 |
| DataBase/SemesterWork/FinalStep/frontend/.idea (Files)                                                                                                        |          5 |        105 |          0 |          0 |        105 |
| DataBase/SemesterWork/FinalStep/frontend/.idea/inspectionProfiles                                                                                             |          1 |          6 |          0 |          0 |          6 |
| DataBase/SemesterWork/FinalStep/frontend/public                                                                                                               |          2 |         35 |          1 |          2 |         38 |
| DataBase/SemesterWork/FinalStep/frontend/src                                                                                                                  |         17 |      1,535 |         94 |         99 |      1,728 |
| DataBase/SemesterWork/FinalStep/frontend/src (Files)                                                                                                          |          2 |         20 |          5 |          3 |         28 |
| DataBase/SemesterWork/FinalStep/frontend/src/assets                                                                                                           |          1 |        214 |          0 |         32 |        246 |
| DataBase/SemesterWork/FinalStep/frontend/src/assets/css                                                                                                       |          1 |        214 |          0 |         32 |        246 |
| DataBase/SemesterWork/FinalStep/frontend/src/components                                                                                                       |         14 |      1,301 |         89 |         64 |      1,454 |
| DataBase/SemesterWork/FinalStep/frontend/src/components (Files)                                                                                               |          1 |         19 |          0 |          0 |         19 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/login                                                                                                 |          3 |        441 |         39 |         18 |        498 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/main                                                                                                  |          5 |        627 |         44 |         41 |        712 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/reduxStore                                                                                            |          4 |        128 |          6 |          2 |        136 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/reduxStore (Files)                                                                                    |          1 |          3 |          0 |          1 |          4 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/reduxStore/action                                                                                     |          1 |         64 |          0 |          0 |         64 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/reduxStore/reducer                                                                                    |          1 |         49 |          6 |          1 |         56 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/reduxStore/state                                                                                      |          1 |         12 |          0 |          0 |         12 |
| DataBase/SemesterWork/FinalStep/frontend/src/components/register                                                                                              |          1 |         86 |          0 |          3 |         89 |
| DistributedStorageSystems                                                                                                                                     |         35 |      1,369 |         29 |        157 |      1,555 |
| DistributedStorageSystems/Lab1                                                                                                                                |         27 |        973 |         29 |         96 |      1,098 |
| DistributedStorageSystems/Lab1/.idea                                                                                                                          |          7 |         58 |          0 |          0 |         58 |
| DistributedStorageSystems/Lab1/.idea (Files)                                                                                                                  |          5 |         38 |          0 |          0 |         38 |
| DistributedStorageSystems/Lab1/.idea/libraries                                                                                                                |          2 |         20 |          0 |          0 |         20 |
| DistributedStorageSystems/Lab1/Lab1                                                                                                                           |         20 |        915 |         29 |         96 |      1,040 |
| DistributedStorageSystems/Lab1/Lab1 (Files)                                                                                                                   |         14 |        868 |         29 |         96 |        993 |
| DistributedStorageSystems/Lab1/Lab1/.idea                                                                                                                     |          6 |         47 |          0 |          0 |         47 |
| DistributedStorageSystems/Lab2                                                                                                                                |          7 |        396 |          0 |         60 |        456 |
| DistributedStorageSystems/Lab2 (Files)                                                                                                                        |          2 |        355 |          0 |         60 |        415 |
| DistributedStorageSystems/Lab2/.idea                                                                                                                          |          5 |         41 |          0 |          0 |         41 |
| DistributedStorageSystems/Lab3                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| Mathematics                                                                                                                                                   |         27 |      2,052 |          7 |        162 |      2,221 |
| Mathematics (Files)                                                                                                                                           |          1 |        424 |          0 |          1 |        425 |
| Mathematics/GraphicWork1                                                                                                                                      |         25 |      1,549 |          7 |        127 |      1,683 |
| Mathematics/GraphicWork1 (Files)                                                                                                                              |          1 |         70 |          1 |          5 |         76 |
| Mathematics/GraphicWork1/.idea                                                                                                                                |          8 |        212 |          0 |          0 |        212 |
| Mathematics/GraphicWork1/.idea (Files)                                                                                                                        |          7 |        193 |          0 |          0 |        193 |
| Mathematics/GraphicWork1/.idea/artifacts                                                                                                                      |          1 |         19 |          0 |          0 |         19 |
| Mathematics/GraphicWork1/src                                                                                                                                  |          8 |        714 |          6 |        116 |        836 |
| Mathematics/GraphicWork1/src/main                                                                                                                             |          8 |        714 |          6 |        116 |        836 |
| Mathematics/GraphicWork1/src/main/java                                                                                                                        |          6 |        319 |          6 |        110 |        435 |
| Mathematics/GraphicWork1/src/main/java (Files)                                                                                                                |          1 |          6 |          0 |          1 |          7 |
| Mathematics/GraphicWork1/src/main/java/com                                                                                                                    |          5 |        313 |          6 |        109 |        428 |
| Mathematics/GraphicWork1/src/main/java/com/example                                                                                                            |          5 |        313 |          6 |        109 |        428 |
| Mathematics/GraphicWork1/src/main/java/com/example/graphicwork                                                                                                |          5 |        313 |          6 |        109 |        428 |
| Mathematics/GraphicWork1/src/main/resources                                                                                                                   |          2 |        395 |          0 |          6 |        401 |
| Mathematics/GraphicWork1/src/main/resources/com                                                                                                               |          2 |        395 |          0 |          6 |        401 |
| Mathematics/GraphicWork1/src/main/resources/com/example                                                                                                       |          2 |        395 |          0 |          6 |        401 |
| Mathematics/GraphicWork1/src/main/resources/com/example/graphicwork                                                                                           |          2 |        395 |          0 |          6 |        401 |
| Mathematics/GraphicWork1/target                                                                                                                               |          8 |        553 |          0 |          6 |        559 |
| Mathematics/GraphicWork1/target/classes                                                                                                                       |          8 |        553 |          0 |          6 |        559 |
| Mathematics/GraphicWork1/target/classes (Files)                                                                                                               |          1 |          5 |          0 |          0 |          5 |
| Mathematics/GraphicWork1/target/classes/com                                                                                                                   |          7 |        548 |          0 |          6 |        554 |
| Mathematics/GraphicWork1/target/classes/com/example                                                                                                           |          7 |        548 |          0 |          6 |        554 |
| Mathematics/GraphicWork1/target/classes/com/example/graphicwork                                                                                               |          7 |        548 |          0 |          6 |        554 |
| Mathematics/GraphicWork2                                                                                                                                      |          1 |         79 |          0 |         34 |        113 |
| MobileApp                                                                                                                                                     |         44 |      1,580 |         94 |        145 |      1,819 |
| MobileApp/SmartHomeMobileApp                                                                                                                                  |         44 |      1,580 |         94 |        145 |      1,819 |
| MobileApp/SmartHomeMobileApp (Files)                                                                                                                          |          2 |         43 |         48 |         22 |        113 |
| MobileApp/SmartHomeMobileApp/.idea                                                                                                                            |          7 |         77 |          0 |          0 |         77 |
| MobileApp/SmartHomeMobileApp/app                                                                                                                              |         34 |      1,455 |         45 |        122 |      1,622 |
| MobileApp/SmartHomeMobileApp/app (Files)                                                                                                                      |          1 |         18 |          0 |          3 |         21 |
| MobileApp/SmartHomeMobileApp/app/src                                                                                                                          |         33 |      1,437 |         45 |        119 |      1,601 |
| MobileApp/SmartHomeMobileApp/app/src/main                                                                                                                     |         33 |      1,437 |         45 |        119 |      1,601 |
| MobileApp/SmartHomeMobileApp/app/src/main (Files)                                                                                                             |          1 |         25 |          0 |          2 |         27 |
| MobileApp/SmartHomeMobileApp/app/src/main/res                                                                                                                 |         32 |      1,412 |         45 |        117 |      1,574 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/drawable                                                                                                        |         10 |        256 |         10 |         23 |        289 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/layout                                                                                                          |         11 |      1,030 |          0 |         82 |      1,112 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/menu                                                                                                            |          1 |         15 |          0 |          4 |         19 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/mipmap-anydpi                                                                                                   |          2 |         12 |          0 |          0 |         12 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/navigation                                                                                                      |          1 |         40 |          0 |          5 |         45 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/values                                                                                                          |          4 |         40 |          6 |          3 |         49 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/values-night                                                                                                    |          1 |         11 |          5 |          0 |         16 |
| MobileApp/SmartHomeMobileApp/app/src/main/res/xml                                                                                                             |          2 |          8 |         24 |          0 |         32 |
| MobileApp/SmartHomeMobileApp/gradle                                                                                                                           |          1 |          5 |          1 |          1 |          7 |
| MobileApp/SmartHomeMobileApp/gradle/wrapper                                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| ProgramTest                                                                                                                                                   |        321 |     70,046 |      9,557 |     11,993 |     91,596 |
| ProgramTest/Lab1                                                                                                                                              |         27 |      1,185 |         17 |        151 |      1,353 |
| ProgramTest/Lab1/.idea                                                                                                                                        |         10 |        411 |          0 |          1 |        412 |
| ProgramTest/Lab1/Lab1                                                                                                                                         |         17 |        774 |         17 |        150 |        941 |
| ProgramTest/Lab1/Lab1 (Files)                                                                                                                                 |          1 |         34 |          0 |          3 |         37 |
| ProgramTest/Lab1/Lab1/.idea                                                                                                                                   |          4 |        151 |          0 |          0 |        151 |
| ProgramTest/Lab1/Lab1/src                                                                                                                                     |         12 |        589 |         17 |        147 |        753 |
